Unnamed: 0,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
60,SGN,HAN,07:00:00,6,02:50:00,09:50:00,6,QA372,QA,QAirline,1782900,11891.0,
61,SGN,HAN,07:00:00,5,02:50:00,09:50:00,5,QA119,QA,QAirline,1782900,13090.0,30449.0
62,SGN,HAN,13:45:00,4,02:50:00,16:35:00,4,QA364,QA,QAirline,1782900,16386.0,30609.0
63,SGN,HAN,13:45:00,5,02:50:00,16:35:00,5,QA220,QA,QAirline,1782900,11891.0,30449.0
64,SGN,HAN,20:40:00,2,02:55:00,23:35:00,2,QA411,QA,QAirline,1782900,,30622.0
65,SGN,HAN,09:45:00,0,02:55:00,12:40:00,0,QA403,QA,QAirline,1782900,,30622.0
66,SGN,HAN,20:40:00,6,02:55:00,23:35:00,6,QA297,QA,QAirline,1782900,,
67,SGN,HAN,20:40:00,4,02:55:00,23:35:00,4,QA109,QA,QAirline,1782900,,
68,SGN,HAN,20:40:00,5,02:55:00,23:35:00,5,QA190,QA,QAirline,1782900,,
69,SGN,HAN,20:40:00,0,02:55:00,23:35:00,0,QA375,QA,QAirline,1782900,,30622.0
70,SGN,HAN,20:40:00,1,02:55:00,23:35:00,1,QA265,QA,QAirline,1782900,,30622.0
71,SGN,HAN,09:45:00,3,02:55:00,12:40:00,3,QA378,QA,QAirline,1782900,,
72,SGN,HAN,09:45:00,1,02:55:00,12:40:00,1,QA216,QA,QAirline,1782900,,
73,SGN,HAN,09:45:00,2,02:55:00,12:40:00,2,QA473,QA,QAirline,1782900,,
74,HAN,DLI,04:55:00,0,03:20:00,08:15:00,0,QA396,QA,QAirline,11740,,33138.0
75,HAN,DLI,15:55:00,0,03:15:00,19:10:00,0,QA314,QA,QAirline,11767,14288.0,33150.0
76,HAN,DLI,05:30:00,5,03:10:00,08:40:00,5,QA141,QA,QAirline,11949,14288.0,37281.0
77,HAN,DLI,05:30:00,6,03:10:00,08:40:00,6,QA155,QA,QAirline,11949,14288.0,49863.0
78,HAN,DLI,05:30:00,3,03:10:00,08:40:00,3,QA370,QA,QAirline,11949,14288.0,49863.0
79,HAN,DLI,05:30:00,1,03:10:00,08:40:00,1,QA403,QA,QAirline,11949,16565.0,32966.0
80,HAN,DLI,04:55:00,2,03:20:00,08:15:00,2,QA233,QA,QAirline,11951,,33138.0
81,HAN,DLI,04:55:00,6,03:20:00,08:15:00,6,QA408,QA,QAirline,11951,,33138.0
82,HAN,DLI,04:55:00,1,03:20:00,08:15:00,1,QA147,QA,QAirline,11951,,33138.0
83,HAN,DLI,04:55:00,5,03:20:00,08:15:00,5,QA190,QA,QAirline,11951,,33138.0
84,HAN,DLI,04:55:00,4,03:20:00,08:15:00,4,QA392,QA,QAirline,11951,,33138.0
85,HAN,DLI,04:55:00,3,03:20:00,08:15:00,3,QA162,QA,QAirline,11951,,33138.0
86,HAN,DLI,05:50:00,5,03:05:00,08:55:00,5,QA425,QA,QAirline,12345,,
87,HAN,DLI,05:50:00,2,03:05:00,08:55:00,2,QA169,QA,QAirline,12345,,
88,HAN,DLI,05:50:00,0,03:05:00,08:55:00,0,QA498,QA,QAirline,12345,,
89,HAN,DLI,05:50:00,1,03:05:00,08:55:00,1,QA425,QA,QAirline,12345,,
90,HAN,DLI,05:50:00,3,03:05:00,08:55:00,3,QA437,QA,QAirline,12345,,
91,HAN,DLI,05:50:00,6,03:05:00,08:55:00,6,QA318,QA,QAirline,12345,,
92,HAN,DLI,05:50:00,4,03:05:00,08:55:00,4,QA430,QA,QAirline,12345,,
93,HAN,DLI,17:55:00,3,03:10:00,21:05:00,3,QA353,QA,QAirline,12345,,
94,HAN,DLI,17:55:00,0,03:10:00,21:05:00,0,QA411,QA,QAirline,12345,,
95,HAN,DLI,17:55:00,1,03:10:00,21:05:00,1,QA248,QA,QAirline,12345,,
96,HAN,DLI,14:55:00,0,03:15:00,18:10:00,0,QA224,QA,QAirline,12346,,
97,HAN,DLI,14:55:00,3,03:15:00,18:10:00,3,QA276,QA,QAirline,12346,,
98,HAN,DLI,14:55:00,1,03:15:00,18:10:00,1,QA473,QA,QAirline,12346,,
99,SGN,HAN,21:55:00,6,02:20:00,00:15:00,0,QA464,QA,QAirline,1782900,,
100,SGN,HAN,21:55:00,5,02:20:00,00:15:00,6,QA407,QA,QAirline,1782900,,
101,SGN,HAN,05:45:00,5,02:00:00,07:45:00,5,QA133,QA,QAirline,1782900,,
102,SGN,HAN,05:45:00,6,02:00:00,07:45:00,6,QA249,QA,QAirline,1782900,,
103,SGN,HAN,18:55:00,6,02:10:00,21:05:00,6,QA275,QA,QAirline,1782900,,
104,SGN,HAN,18:55:00,5,02:10:00,21:05:00,5,QA335,QA,QAirline,1782900,,
105,SGN,HAN,07:10:00,1,02:15:00,09:25:00,1,QA326,QA,QAirline,1782900,,
106,SGN,HAN,07:20:00,3,02:05:00,09:25:00,3,QA379,QA,QAirline,1652900,1452900.0,
107,SGN,HAN,07:20:00,6,02:05:00,09:25:00,6,QA121,QA,QAirline,1652900,1652900.0,26375.0
108,SGN,HAN,14:45:00,2,02:15:00,17:00:00,2,QA177,QA,QAirline,1652900,10760.0,
109,SGN,HAN,20:35:00,6,02:20:00,22:55:00,6,QA392,QA,QAirline,1652900,10760.0,26375.0
110,SGN,HAN,07:10:00,5,02:15:00,09:25:00,5,QA317,QA,QAirline,1672900,,
111,SGN,HAN,07:10:00,6,02:15:00,09:25:00,6,QA376,QA,QAirline,1672900,,
112,SGN,HAN,07:20:00,4,02:05:00,09:25:00,4,QA479,QA,QAirline,1782900,1452900.0,26375.0
113,SGN,HAN,07:20:00,2,02:05:00,09:25:00,2,QA247,QA,QAirline,1782900,1452900.0,26250.0
114,SGN,HAN,21:55:00,3,02:20:00,00:15:00,4,QA462,QA,QAirline,1782900,,
115,SGN,HAN,21:55:00,4,02:20:00,00:15:00,5,QA198,QA,QAirline,1782900,,
116,SGN,HAN,21:55:00,1,02:20:00,00:15:00,2,QA347,QA,QAirline,1782900,,
117,SGN,HAN,21:55:00,2,02:20:00,00:15:00,3,QA394,QA,QAirline,1782900,,
118,SGN,HAN,09:45:00,1,02:05:00,11:50:00,1,QA253,QA,QAirline,1382900,,
119,SGN,HAN,09:45:00,4,02:05:00,11:50:00,4,QA447,QA,QAirline,1382900,,
120,SGN,HAN,21:30:00,2,02:15:00,23:45:00,2,QA164,QA,QAirline,1382900,,26427.0
121,SGN,HAN,07:10:00,2,02:15:00,09:25:00,2,QA366,QA,QAirline,1382900,,26427.0
122,SGN,HAN,07:10:00,4,02:15:00,09:25:00,4,QA128,QA,QAirline,1382900,,26427.0
123,SGN,HAN,20:35:00,2,02:20:00,22:55:00,2,QA236,QA,QAirline,2120900,10760.0,
124,SGN,HAN,08:10:00,5,03:15:00,11:25:00,5,QA264,QA,QAirline,2120900,15966.0,37281.0
125,SGN,HAN,08:10:00,2,03:15:00,11:25:00,2,QA184,QA,QAirline,2120900,16638.0,69590.0
126,SGN,HAN,08:10:00,6,03:15:00,11:25:00,6,QA201,QA,QAirline,2120900,15966.0,37281.0
127,SGN,HAN,08:10:00,0,03:15:00,11:25:00,0,QA181,QA,QAirline,2120900,15966.0,54735.0
128,SGN,HAN,08:10:00,3,03:15:00,11:25:00,3,QA175,QA,QAirline,2120900,15966.0,32966.0
129,SGN,HAN,08:10:00,4,03:15:00,11:25:00,4,QA118,QA,QAirline,2120900,15966.0,59049.0
130,SGN,HAN,08:10:00,1,03:15:00,11:25:00,1,QA348,QA,QAirline,2120900,15966.0,37281.0
131,SGN,HAN,15:00:00,3,03:15:00,18:15:00,3,QA274,QA,QAirline,2030900,,64344.0
132,SGN,HAN,15:00:00,5,03:15:00,18:15:00,5,QA342,QA,QAirline,2030900,,33738.0
133,SGN,HAN,15:00:00,4,03:15:00,18:15:00,4,QA134,QA,QAirline,2030900,,47626.0
134,SGN,HAN,15:00:00,2,03:15:00,18:15:00,2,QA426,QA,QAirline,2030900,,33138.0
135,SGN,HAN,15:00:00,1,03:15:00,18:15:00,1,QA259,QA,QAirline,2030900,,33138.0
136,SGN,HAN,15:00:00,0,03:15:00,18:15:00,0,QA230,QA,QAirline,13928,,33138.0
137,SGN,HAN,21:35:00,6,03:15:00,00:50:00,0,QA168,QA,QAirline,1920900,,
138,SGN,HAN,21:35:00,0,03:15:00,00:50:00,1,QA233,QA,QAirline,1920900,,
139,SGN,HAN,21:35:00,5,03:15:00,00:50:00,6,QA340,QA,QAirline,1920900,,
140,SGN,HAN,21:35:00,2,03:15:00,00:50:00,3,QA480,QA,QAirline,1920900,,
141,SGN,HAN,21:35:00,1,03:15:00,00:50:00,2,QA351,QA,QAirline,1920900,,
142,SGN,HAN,21:35:00,3,03:15:00,00:50:00,4,QA467,QA,QAirline,1920900,,
143,SGN,HAN,21:35:00,4,03:15:00,00:50:00,5,QA108,QA,QAirline,1320900,,
144,SGN,HAN,15:00:00,6,03:15:00,18:15:00,6,QA324,QA,QAirline,1320900,,33738.0
145,HAN,VDO,05:30:00,1,02:10:00,07:40:00,1,QA327,QA,QAirline,5218,,
146,HAN,VDO,07:00:00,6,02:05:00,09:05:00,6,QA327,QA,QAirline,5424,,
147,HAN,VDO,05:30:00,6,02:10:00,07:40:00,6,QA158,QA,QAirline,5607,,
148,HAN,VDO,07:00:00,1,02:05:00,09:05:00,1,QA312,QA,QAirline,6280,,
149,HAN,VDO,19:30:00,3,02:25:00,21:55:00,3,QA383,QA,QAirline,6280,,
150,HAN,VDO,19:30:00,6,02:25:00,21:55:00,6,QA211,QA,QAirline,6300,,
151,HAN,VDO,05:30:00,3,02:10:00,07:40:00,3,QA447,QA,QAirline,6499,,
152,HAN,VDO,19:30:00,1,02:25:00,21:55:00,1,QA145,QA,QAirline,6580,,
153,HAN,VDO,20:15:00,0,02:10:00,22:25:00,0,QA287,QA,QAirline,8709,,30742.0
154,HAN,VDO,07:00:00,4,02:05:00,09:05:00,4,QA327,QA,QAirline,8824,,
155,HAN,VDO,07:00:00,2,02:05:00,09:05:00,2,QA337,QA,QAirline,8824,,
156,HAN,VDO,19:30:00,2,02:25:00,21:55:00,2,QA100,QA,QAirline,8824,,
157,HAN,VDO,17:30:00,4,02:05:00,19:35:00,4,QA472,QA,QAirline,9344,,
158,HAN,VDO,07:30:00,3,02:05:00,09:35:00,3,QA364,QA,QAirline,9344,10931.0,
159,HAN,VDO,06:15:00,3,02:05:00,08:20:00,3,QA253,QA,QAirline,9344,10931.0,
160,HAN,VDO,07:30:00,4,02:05:00,09:35:00,4,QA295,QA,QAirline,9344,10931.0,
161,HAN,VDO,17:30:00,3,02:05:00,19:35:00,3,QA180,QA,QAirline,9344,11050.0,
162,HAN,VDO,07:30:00,5,02:05:00,09:35:00,5,QA394,QA,QAirline,9344,10758.0,30570.0
163,HAN,VDO,06:15:00,4,02:05:00,08:20:00,4,QA270,QA,QAirline,9344,10758.0,
164,HAN,VDO,15:55:00,4,02:10:00,18:05:00,4,QA113,QA,QAirline,9344,10878.0,
165,HAN,VDO,20:30:00,5,02:15:00,22:45:00,5,QA371,QA,QAirline,9344,10638.0,30570.0
166,HAN,VDO,06:15:00,5,02:05:00,08:20:00,5,QA425,QA,QAirline,9523,10758.0,30570.0
167,HAN,VDO,17:30:00,5,02:05:00,19:35:00,5,QA170,QA,QAirline,9523,10878.0,
168,HAN,VDO,15:55:00,5,02:10:00,18:05:00,5,QA230,QA,QAirline,9523,10878.0,
169,HAN,VDO,20:30:00,3,02:15:00,22:45:00,3,QA333,QA,QAirline,9523,10811.0,
170,HAN,THD,05:45:00,5,01:40:00,07:25:00,5,QA361,QA,QAirline,4745,,
171,HAN,THD,17:05:00,5,01:20:00,18:25:00,5,QA223,QA,QAirline,5100,,
172,HAN,THD,05:20:00,5,01:35:00,06:55:00,5,QA133,QA,QAirline,5100,,
173,HAN,THD,20:20:00,5,01:35:00,21:55:00,5,QA430,QA,QAirline,5100,,
174,HAN,THD,18:10:00,5,01:30:00,19:40:00,5,QA470,QA,QAirline,5653,,
175,HAN,THD,05:45:00,3,01:40:00,07:25:00,3,QA102,QA,QAirline,7192,,
176,HAN,THD,05:45:00,6,01:40:00,07:25:00,6,QA134,QA,QAirline,7192,,
177,HAN,THD,06:30:00,3,01:25:00,07:55:00,3,QA403,QA,QAirline,7712,9075.0,21881.0
178,HAN,THD,21:20:00,3,01:40:00,23:00:00,3,QA462,QA,QAirline,7712,10034.0,20383.0
179,HAN,THD,21:20:00,1,01:40:00,23:00:00,1,QA413,QA,QAirline,7712,10034.0,24697.0
180,HAN,THD,18:10:00,2,01:45:00,19:55:00,2,QA231,QA,QAirline,7712,10034.0,26195.0
181,HAN,THD,19:00:00,5,01:35:00,20:35:00,5,QA220,QA,QAirline,7825,,22593.0
182,HAN,THD,06:30:00,5,01:25:00,07:55:00,5,QA219,QA,QAirline,7891,9075.0,23798.0
183,HAN,THD,06:30:00,2,01:25:00,07:55:00,2,QA350,QA,QAirline,7891,9075.0,26195.0
184,HAN,THD,06:30:00,4,01:25:00,07:55:00,4,QA292,QA,QAirline,7891,9075.0,
185,HAN,THD,18:10:00,0,01:30:00,19:40:00,0,QA167,QA,QAirline,7891,,
186,HAN,THD,18:10:00,3,01:30:00,19:40:00,3,QA500,QA,QAirline,7891,,
187,HAN,THD,18:10:00,2,01:30:00,19:40:00,2,QA430,QA,QAirline,7891,,
188,HAN,THD,21:20:00,2,01:40:00,23:00:00,2,QA399,QA,QAirline,7891,10034.0,24697.0
189,HAN,THD,21:20:00,0,01:40:00,23:00:00,0,QA190,QA,QAirline,7891,10034.0,24697.0
190,HAN,THD,21:20:00,5,01:40:00,23:00:00,5,QA176,QA,QAirline,7891,10034.0,22300.0
191,HAN,THD,18:10:00,0,01:45:00,19:55:00,0,QA335,QA,QAirline,7891,12851.0,22030.0
192,HAN,THD,18:10:00,3,01:45:00,19:55:00,3,QA336,QA,QAirline,7891,10034.0,21881.0
193,HAN,THD,19:00:00,2,01:35:00,20:35:00,2,QA455,QA,QAirline,7894,,21993.0
194,HAN,THD,19:00:00,4,01:35:00,20:35:00,4,QA203,QA,QAirline,7894,,22905.0
195,HAN,CCJ,17:10:00,1,03:10:00,20:20:00,1,QA152,QA,QAirline,10184,,
196,HAN,CCJ,05:45:00,0,03:05:00,08:50:00,0,QA307,QA,QAirline,10473,,27558.0
197,HAN,CCJ,05:45:00,2,03:05:00,08:50:00,2,QA315,QA,QAirline,10473,,27558.0
198,HAN,CCJ,05:45:00,4,04:25:00,10:10:00,4,QA467,QA,QAirline,10473,,
199,HAN,CCJ,05:45:00,1,04:25:00,10:10:00,1,QA424,QA,QAirline,10473,,
200,HAN,CCJ,05:45:00,5,03:05:00,08:50:00,5,QA410,QA,QAirline,11197,,27558.0
201,HAN,CCJ,05:45:00,6,04:25:00,10:10:00,6,QA191,QA,QAirline,11197,,
202,HAN,CCJ,05:45:00,3,04:25:00,10:10:00,3,QA435,QA,QAirline,11366,,
203,HAN,CCJ,17:10:00,2,03:10:00,20:20:00,2,QA268,QA,QAirline,11512,,
204,HAN,CCJ,17:10:00,0,03:10:00,20:20:00,0,QA350,QA,QAirline,11512,,
205,HAN,CCJ,17:10:00,6,03:10:00,20:20:00,6,QA287,QA,QAirline,12237,,
206,HAN,CCJ,17:10:00,5,03:10:00,20:20:00,5,QA340,QA,QAirline,12237,,
207,HAN,CCJ,17:10:00,3,03:10:00,20:20:00,3,QA449,QA,QAirline,13081,,
208,HAN,CCJ,17:10:00,4,03:10:00,20:20:00,4,QA132,QA,QAirline,19119,,
209,HAN,JAI,20:00:00,5,01:15:00,21:15:00,5,QA303,QA,QAirline,4354,,
210,HAN,JAI,20:00:00,0,01:15:00,21:15:00,0,QA211,QA,QAirline,4354,,
211,HAN,JAI,20:00:00,6,01:15:00,21:15:00,6,QA181,QA,QAirline,4354,,
212,HAN,JAI,20:00:00,1,01:15:00,21:15:00,1,QA109,QA,QAirline,4354,,
213,HAN,JAI,21:05:00,1,00:50:00,21:55:00,1,QA263,QA,QAirline,4751,,
214,HAN,JAI,13:00:00,5,00:50:00,13:50:00,5,QA497,QA,QAirline,4751,,
215,HAN,JAI,13:00:00,2,00:50:00,13:50:00,2,QA269,QA,QAirline,4751,,
216,HAN,JAI,21:05:00,2,00:50:00,21:55:00,2,QA186,QA,QAirline,4751,,
217,HAN,JAI,13:00:00,3,00:50:00,13:50:00,3,QA400,QA,QAirline,4751,,
218,HAN,JAI,21:05:00,6,00:50:00,21:55:00,6,QA117,QA,QAirline,4751,,
219,HAN,JAI,21:05:00,5,00:50:00,21:55:00,5,QA121,QA,QAirline,4751,,
220,HAN,JAI,13:00:00,4,00:50:00,13:50:00,4,QA123,QA,QAirline,4751,,
221,HAN,JAI,21:05:00,3,00:50:00,21:55:00,3,QA368,QA,QAirline,4751,,
222,HAN,JAI,13:00:00,1,00:50:00,13:50:00,1,QA109,QA,QAirline,4751,,
223,HAN,JAI,21:05:00,4,00:50:00,21:55:00,4,QA101,QA,QAirline,4751,,
224,HAN,JAI,13:00:00,6,00:50:00,13:50:00,6,QA387,QA,QAirline,4751,,
225,HAN,JAI,08:30:00,4,00:55:00,09:25:00,4,QA133,QA,QAirline,4751,,
226,HAN,JAI,08:30:00,6,00:55:00,09:25:00,6,QA170,QA,QAirline,4751,,
227,HAN,JAI,08:30:00,3,00:55:00,09:25:00,3,QA349,QA,QAirline,4751,,
228,HAN,JAI,08:30:00,2,00:55:00,09:25:00,2,QA149,QA,QAirline,4751,,
229,HAN,JAI,08:30:00,1,00:55:00,09:25:00,1,QA421,QA,QAirline,4751,,
230,HAN,JAI,08:30:00,5,00:55:00,09:25:00,5,QA373,QA,QAirline,4751,,
231,HAN,JAI,07:20:00,4,01:00:00,08:20:00,4,QA164,QA,QAirline,4751,,
232,HAN,JAI,07:20:00,2,01:00:00,08:20:00,2,QA321,QA,QAirline,4751,,
233,HAN,JAI,07:20:00,1,01:00:00,08:20:00,1,QA255,QA,QAirline,4751,,
234,HAN,GOI,15:10:00,5,02:30:00,17:40:00,5,QA463,QA,QAirline,6059,,
235,HAN,GOI,12:05:00,5,02:20:00,14:25:00,5,QA318,QA,QAirline,6118,,
236,HAN,GOI,10:40:00,5,02:35:00,13:15:00,5,QA283,QA,QAirline,7161,,
237,HAN,GOI,10:50:00,5,02:40:00,13:30:00,5,QA313,QA,QAirline,7756,,
238,HAN,GOI,09:00:00,5,02:35:00,11:35:00,5,QA160,QA,QAirline,8361,,
239,HAN,GOI,15:10:00,1,02:30:00,17:40:00,1,QA407,QA,QAirline,9986,,
240,HAN,GOI,15:10:00,0,02:30:00,17:40:00,0,QA315,QA,QAirline,9986,,
241,HAN,GOI,15:10:00,6,02:30:00,17:40:00,6,QA116,QA,QAirline,9986,,
242,HAN,GOI,22:00:00,0,02:40:00,00:40:00,1,QA373,QA,QAirline,9989,,33199.0
243,HAN,GOI,11:10:00,0,02:40:00,13:50:00,0,QA407,QA,QAirline,10647,12670.0,37340.0
244,HAN,GOI,11:10:00,5,02:40:00,13:50:00,5,QA340,QA,QAirline,10647,12670.0,37340.0
245,HAN,GOI,11:10:00,1,02:40:00,13:50:00,1,QA391,QA,QAirline,10647,13989.0,61249.0
246,HAN,GOI,18:40:00,1,02:40:00,21:20:00,1,QA344,QA,QAirline,10647,12011.0,45070.0
247,HAN,GOI,18:40:00,5,02:40:00,21:20:00,5,QA443,QA,QAirline,10647,12011.0,37340.0
248,HAN,GOI,18:40:00,0,02:40:00,21:20:00,0,QA431,QA,QAirline,10647,12011.0,37340.0
249,HAN,GOI,22:00:00,5,02:40:00,00:40:00,6,QA337,QA,QAirline,10738,,33199.0
250,HAN,GOI,10:45:00,5,02:50:00,13:35:00,5,QA304,QA,QAirline,10738,,
251,HAN,GOI,18:40:00,2,02:40:00,21:20:00,2,QA372,QA,QAirline,10833,12011.0,45070.0
252,HAN,GOI,22:00:00,1,02:40:00,00:40:00,2,QA483,QA,QAirline,10835,,33199.0
253,HAN,GOI,22:00:00,4,02:40:00,00:40:00,5,QA189,QA,QAirline,10835,,33199.0
254,HAN,GOI,22:00:00,3,02:40:00,00:40:00,4,QA240,QA,QAirline,10835,,33200.0
255,HAN,GOI,22:00:00,2,02:40:00,00:40:00,3,QA134,QA,QAirline,10835,,33199.0
256,HAN,LKO,13:35:00,3,01:10:00,14:45:00,3,QA408,QA,QAirline,6546,8596.0,18885.0
257,HAN,LKO,13:35:00,6,01:10:00,14:45:00,6,QA274,QA,QAirline,6546,8596.0,18885.0
258,HAN,LKO,13:35:00,0,01:10:00,14:45:00,0,QA306,QA,QAirline,6546,8596.0,18885.0
259,HAN,LKO,13:35:00,2,01:10:00,14:45:00,2,QA397,QA,QAirline,6729,8596.0,18885.0
260,HAN,LKO,13:35:00,5,01:10:00,14:45:00,5,QA465,QA,QAirline,6729,8596.0,18885.0
261,HAN,LKO,13:35:00,4,01:10:00,14:45:00,4,QA169,QA,QAirline,6729,8596.0,16488.0
262,HAN,LKO,13:35:00,1,01:10:00,14:45:00,1,QA275,QA,QAirline,6729,8596.0,14571.0
263,HAN,LKO,18:30:00,6,01:05:00,19:35:00,6,QA391,QA,QAirline,6730,,15343.0
264,HAN,LKO,07:05:00,6,01:05:00,08:10:00,6,QA344,QA,QAirline,6730,,15343.0
265,HAN,LKO,18:30:00,4,01:05:00,19:35:00,4,QA145,QA,QAirline,6730,,22488.0
266,HAN,LKO,18:30:00,3,01:05:00,19:35:00,3,QA380,QA,QAirline,6730,,14743.0
267,HAN,LKO,12:20:00,3,01:05:00,13:25:00,3,QA372,QA,QAirline,6730,,14743.0
